setting,update,agent,actionable,actual_selected,actual_branch_outcome,actual_committed,persistent_attempt,persistent_feasible,persistent_normal_failure,persistent_consecutive_failure,last_feasible_update,B_i,state_failure,rho_state,normalized_wait,R0_score,R0_rank,R1_score,R1_rank,R2_score,R2_rank,R3_score,R3_rank,beta_realizability,consecutive_discount,floored_realizability
S1,0,0,True,False,NOT_SELECTED,False,0,0,0,0,,0.3,0,1.0,0.0,0.3,4,0.15,4,0.3,4,0.1875,4,0.5,1.0,0.625
S1,0,1,True,True,FEASIBLE,True,0,0,0,0,,0.3,0,1.0,0.0,0.3,2,0.15,2,0.3,2,0.1875,2,0.5,1.0,0.625
S1,0,2,True,True,NORMAL_FAILURE,False,0,0,0,0,,0.3,0,1.0,0.0,0.3,1,0.15,1,0.3,1,0.1875,1,0.5,1.0,0.625
S1,0,3,True,False,NOT_SELECTED,False,0,0,0,0,,0.3,0,1.0,0.0,0.3,3,0.15,3,0.3,3,0.1875,3,0.5,1.0,0.625
S1,0,4,True,False,NOT_SELECTED,False,0,0,0,0,,0.3,0,1.0,0.0,0.3,5,0.15,5,0.3,5,0.1875,5,0.5,1.0,0.625
S1,1,0,True,False,NOT_SELECTED,False,0,0,0,0,,0.04285714285714285,0,1.0,1.0,0.09285714285714286,3,0.07142857142857142,3,0.09285714285714286,3,0.07678571428571429,3,0.5,1.0,0.625
S1,1,1,True,True,FEASIBLE,True,1,1,0,0,0,0.3,0,1.0,0.0,0.3,1,0.19999999999999998,1,0.3,1,0.22499999999999998,1,0.6666666666666666,1.0,0.75
S1,1,2,True,False,NOT_SELECTED,False,1,0,1,1,,0.06428571428571428,0,1.0,0.0,0.06428571428571428,5,0.021428571428571425,5,0.03214285714285714,5,0.03214285714285714,5,0.3333333333333333,0.5,0.5
S1,1,3,True,True,NORMAL_FAILURE,False,0,0,0,0,,0.06428571428571428,0,1.0,1.0,0.11428571428571428,2,0.08214285714285714,2,0.11428571428571428,2,0.09017857142857143,2,0.5,1.0,0.625
S1,1,4,True,False,NOT_SELECTED,False,0,0,0,0,,0.04285714285714285,0,1.0,1.0,0.09285714285714286,4,0.07142857142857142,4,0.09285714285714286,4,0.07678571428571429,4,0.5,1.0,0.625
S1,2,0,True,True,NORMAL_FAILURE,False,0,0,0,0,,0.44,0,1.0,1.0,0.49,2,0.27,1,0.49,1,0.325,1,0.5,1.0,0.625
S1,2,1,True,False,NOT_SELECTED,False,2,2,0,0,1,0.24,0,1.0,0.0,0.24,5,0.18,4,0.24,4,0.195,5,0.75,1.0,0.8125
