aggregation_gap,bottom2_mean_acc,c1_minus_c2,c2_minus_c3,correct_agent_count_0,correct_agent_count_1,correct_agent_count_2,correct_agent_count_3,correct_agent_count_4,correct_agent_count_5,coverage_depth_c1,coverage_depth_c2,coverage_depth_c3,coverage_depth_c4,coverage_depth_c5,max_minority_rescue_share,mean_individual_acc,mean_specialization_strength,minority_rescue_hhi,oracle_acc,prompt_overlength_rejection_count,run_dir,setting_seed,specialization_strength_final,task,truncated_prompt_count,vote_acc
0.04999999999999999,0.35,0.05,0.0,11,1,0,0,3,5,0.45,0.4,0.4,0.4,0.25,1.0,0.38,0.0,1.0,0.45,0,runs_vote_v8_competence_depth_strict_smoke\disambiguation_qa\shared_legacy_coverage_useful_tcs_strict_seed42,shared_legacy_coverage_useful_tcs_strict_seed42,0.0,disambiguation_qa,0,0.4
0.04999999999999999,0.35,0.05,0.0,10,1,0,2,2,5,0.5,0.45,0.45,0.35,0.25,1.0,0.4,0.0,1.0,0.5,0,runs_vote_v8_competence_depth_strict_smoke\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,disambiguation_qa,0,0.45
0.10000000000000003,0.3,0.05,0.05,11,1,1,2,0,5,0.45,0.4,0.35,0.25,0.25,0.6666666666666666,0.34,0.0,0.5555555555555556,0.45,0,runs_vote_v8_competence_depth_strict_smoke\disambiguation_qa\shared_vote_tcs_competence_depth2_progressive_residual_seed42,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,disambiguation_qa,0,0.35
0.09999999999999998,0.32499999999999996,0.05,0.05,10,1,1,3,1,4,0.5,0.45,0.4,0.25,0.2,0.6666666666666666,0.36,0.0,0.5555555555555556,0.5,0,runs_vote_v8_competence_depth_strict_smoke\disambiguation_qa\shared_vote_tcs_competence_depth2_seed42,shared_vote_tcs_competence_depth2_seed42,0.0,disambiguation_qa,0,0.4
0.10000000000000003,0.35,0.0,0.1,11,0,2,1,0,6,0.45,0.45,0.35,0.3,0.3,0.25,0.37,0.0,0.25,0.45,0,runs_vote_v8_competence_depth_strict_smoke\disambiguation_qa\shared_vote_tcs_competence_schedule_seed42,shared_vote_tcs_competence_schedule_seed42,0.0,disambiguation_qa,0,0.35
