seed,setting,example_id,initial_G,final_G,initial_vote_correct,final_vote_correct,first_discovery_update,first_discovering_agent,first_singleton_update,first_reinforcement_update,first_reinforcing_agent,first_vote_conversion_update,initial_repair_distance,min_repair_distance,final_repair_distance,ever_orphan,ever_reinforced,ever_vote_converted,persistent_orphan,coverage_lost_after_discovery
48,S0,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,0,3,False,True,1,[1],1,2,[2],5,3,0,0,True,True,True,False,False
48,S0,f030e0805009d60a9288adb4be47ebe5f15d1f4b10f83d5d434f9609d13b61a4,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,b361e6bef071289a5492732ea2fc847f657e4d0f228bd9dc4e27752a574a5d91,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,6837bb7a46bd6e7f040d59684cbc05fc04a38f2796fd391a170a763eda01346a,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,2cbc9cb8354204d7e6afcb210927dd6671cc5f8cf55c43be61e5b90c95fa5c45,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,13bc39c926081f04b8e256af08f7faaabead9f5bee36b7b3c007442fdfeec024,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,b8dee9691a011f0e090fc9ea2b30273e3906c637f4c85c906fcf6b902645a94a,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,b235d916aae1c1d8603d3b41a46cba63bc8b0886fcf5abefff88fccb6ab502be,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,8fbb9d3e55f5f596dcea484db6598491f03cf5e98f9e8e1081ac333d81df577e,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S0,0e50c25afc8f7c5b8cfc77284464df0440b2d65542881bbae652c8975cfb5894,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S0,8a4f9a126984fe7033d96da218f4e1434d6501e96941a107ad35ae4079a8f508,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,0,3,False,True,1,[1],1,2,[2],5,3,0,0,True,True,True,False,False
48,S0,3d8ab24c25c457125571c779af965e2dea4d9a502b2e4484b99b2f83ba2e9167,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,18295a22847ff6b690848ca5028a5d19af59c1b4cf2b09fb08dca5c9818a9211,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,a0fff51d451e031114e7c956fc98a17db1613a0c7393fcc8617a76ff719c1ae0,0,1,False,False,5,[0],5,,[],,3,2,2,True,False,False,True,False
48,S0,ffb8315c493fd31ed5d3958a4d9701ce0966d8eda0fee57d4f267d78c2bdc3d6,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,a25893dde99448f79531912c0dc8e1fa1c208680d9854f351577121d4b5f534f,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S0,b8cfcb730599812475ee246e4e5dd857c79331bdf3202761aa7a4acf893be2b5,0,1,False,False,5,[0],5,,[],,3,2,2,True,False,False,True,False
48,S0,1cbc6671d2468407bec44d4fcea857c6ca8090fff77855b7099513074511f9f8,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,b01f17c0fc61bbec0893f1cd57146053082ca100a6a0e40e0bc42cda1ab11d86,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,fd5520653af0e27c0dca4ecec5484299994533fd9cabde8f0a574789c9bc0b91,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,0,3,False,True,1,[1],1,2,[2],5,3,0,0,True,True,True,False,False
48,S0,7abdd0c7715da581f7a162a855c1940e5d486e2b1de133b43e68bfd19c76c5fa,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,55d982ac6e7025a805e7a9ec459148237716daae0c5e6475fcd9b50da7120a0e,0,1,False,False,5,[0],5,,[],,3,2,2,True,False,False,True,False
48,S0,6a8c507c3b102c94db7b1b3a35cf7af00bc3120d0b94b7ec946c9e24e76f7d17,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,b7dcece0a28530f697a00f10e9f181273d1dc57155e0dbfa3f3b79744c4121ff,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,0,3,False,True,1,[1],1,2,[2],5,3,0,0,True,True,True,False,False
48,S0,99dc366eb8624ce1db6deaa5dbadbfd32a86d773d9fd7ceb3549895a41307717,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S0,8e3ca52bf0691d183ab3c974e881d42309c7b20e8bfc56d9e0842431a9350a23,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,df360c368987d8dbc17e1fa2bc8f00cc572e2ccfe1f0ece5b47e2f67fb7e7e99,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,70a96b939a0222021946a393ae2191b859b2f95bd5edf3558421d7c66b9072d9,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,70109ce377aa14775e72749015908e2d41ce39eeabe8d8e7bde585ef8999a0d0,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,28002f5c5b85d3e013568bad39c1e746339800e201423b86a5287eaf77992a40,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,5c924ef8d381530365efe24a3aff5bc105ce2dc3d6507bc541e6831cfa175c87,5,4,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,cd704d3f46a5b79c91695002616f29b6a86eb6104261c5a9317a87dc80e5001b,0,3,False,True,1,[1],1,2,[2],5,3,0,0,True,True,True,False,False
48,S0,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,0,3,False,True,1,[1],1,2,[2],5,3,0,0,True,True,True,False,False
48,S0,aaf47cda56f320e00a893f109d8bef05f81bef88e0646a2dfedc05620fb89ba8,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S0,ee1dcfbd373795a127fcb34436ef1934060be722821a8c054a9d77d723e91210,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S0,790db948bdc0cf00e68ec747f91f0d67c6c598065d7a536119e844ed87c3b76d,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S0,b0fbfdd2a83c341354b5c3817a7f82e10102becaf9e1985b7b4972ee6047f2ac,5,4,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,88c2cc95314e18fab5f6dcabddca91c124e999a080bcc604f23aa6f51d2409ed,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S0,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,0,2,False,False,2,[2],2,5,[0],,3,1,1,True,True,False,False,False
48,S1,67bfcd3c5d850af456066a5555aee26dd15058807bb9d1215e6268737cc71928,5,3,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,0,3,False,True,1,[0],1,8,[3],13,3,0,0,True,True,True,False,False
48,S1,e70537319da14444bb06cf16a00f28f016495799cb4d3b16c733759ddb65168f,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,01718089b539159d1f6cc1589f5fbf2244bcebbca8cf14084fe222c42a13fc0a,5,4,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,f4090a2f9e0d08a163b3da6c70028bb4e7574ce5e9231469f65b452c1edb8804,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,d898b348a6212cc5d6d9a0e602c2482cce53c09e92ad6287d2ccf6cca5bde353,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,be306a54d5fd78716f8762885f9f374ce1a0cb9d213a29b3bc84e6c4708d4e55,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,91e780478a119714a4cdd8bb4ecf8b91c54899826c61e98181f2081654aa45d0,0,0,False,False,,[],,,[],,3,3,3,False,False,False,False,False
48,S1,32771194b1bcc9f926b882ad63acd1759f5cb959b86ebbaa055959727da81746,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,f478b554d5bf2b7f9fce8b7411643910a3444612eb0717f669f05b836b0ab4c5,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,ca57cd6622e9376e622d4942ae59b70818b3992be3d9bf9032632c26435fd22f,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,60e9b58648541ab9b7ca64a19594c6c0f0053b54cc5c1071a0ed5809d05fe835,5,2,True,False,,[],,,[],,0,0,1,False,False,False,False,False
48,S1,54384438feba7220fd1378ac807d458a542217a63e2543ae22124b8e5b249b5c,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,873c66aed697d866439f8fc427ccf3a26f7da0336c45daedb52448dc04f6a2a6,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,7819700aae5526ab2b28a4cf452b967bb4d51c4607c803366007933b80312d34,5,3,True,True,,[],,,[],,0,0,0,False,False,False,False,False
48,S1,169fb87183cfab9e52df3d990ad1595a342f8579aba1ec691683cd21219808fe,5,5,True,True,,[],,,[],,0,0,0,False,False,False,False,False
